#Carburant

0	0
10	3602
20	3600
30	3597
40	3595
50	3592
60	3589
70	3586
80	3583
90	3581
100	3579
110	3578
120	3577
130	3586
140	3649
150	3705
160	3754
170	3798
180	3837
190	3872
200	3905
210	3935
220	3971
230	4008
240	4042
250	4074
260	4103
270	4130
280	4155
290	4178
300	4200
310	4220
320	4234
330	4244
340	4254
350	4258
360	4262
370	4265
380	4269
390	4272
400	4275
410	4278
420	4280
430	4283
440	4286
450	4288
460	4290
470	4292
480	4294
490	4296
500	4298
510	4299
520	4301
530	4303
540	4304
550	4306
560	4307
570	4309
580	4310
590	4311
600	4313
610	4314
620	4315
630	4316
640	4317
650	4318
660	4319
670	4320
680	4321
690	4322
694	4322
